[2025-04-05 15:56:55,841][__main__][INFO] - System information:
[2025-04-05 15:56:55,841][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-05 15:56:55,841][__main__][INFO] -   Python: 3.12.2
[2025-04-05 15:56:55,841][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Available: True
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Version: 12.4
[2025-04-05 17:33:24,791][__main__][INFO] - EnvName: LLdV3, Steps: 217k, Episode Reward: 189
[2025-04-05 17:33:51,297][__main__][INFO] - EnvName: LLdV3, Steps: 218k, Episode Reward: 168
[2025-04-05 17:34:15,357][__main__][INFO] - EnvName: LLdV3, Steps: 219k, Episode Reward: 181
[2025-04-05 17:34:41,678][__main__][INFO] - EnvName: LLdV3, Steps: 220k, Episode Reward: 115
[2025-04-05 17:35:06,303][__main__][INFO] - EnvName: LLdV3, Steps: 221k, Episode Reward: 181
[2025-04-05 17:35:32,717][__main__][INFO] - EnvName: LLdV3, Steps: 222k, Episode Reward: 128
[2025-04-05 17:35:59,823][__main__][INFO] - EnvName: LLdV3, Steps: 223k, Episode Reward: 148
[2025-04-05 17:36:26,942][__main__][INFO] - EnvName: LLdV3, Steps: 224k, Episode Reward: 152
[2025-04-05 17:36:54,492][__main__][INFO] - EnvName: LLdV3, Steps: 225k, Episode Reward: 109
[2025-04-05 17:37:20,171][__main__][INFO] - EnvName: LLdV3, Steps: 226k, Episode Reward: 162
[2025-04-05 17:37:46,346][__main__][INFO] - EnvName: LLdV3, Steps: 227k, Episode Reward: 206
[2025-04-05 17:38:13,058][__main__][INFO] - EnvName: LLdV3, Steps: 228k, Episode Reward: 183
